user_email,date_of_transaction,amount
user1@example.com,2023-02-15T00:00:00.000Z,106.23
user2@example.com,2023-02-15T00:00:00.000Z,91.12
user3@example.com,2023-02-15T00:00:00.000Z,149.18
user4@example.com,2023-02-15T00:00:00.000Z,118.13
user4@example.com,2023-03-02T00:02:00.000Z,118.13
user4@example.com,2023-02-11T00:03:00.000Z,118.13
user4@example.com,2023-02-13T00:0:00.000Z,118.13
user4@example.com,2023-02-3T00:00:00.000Z,118.13
user4@example.com,2023-04-15T00:00:00.000Z,118.13
user4@example.com,2023-06-15T00:00:00.000Z,118.13
user4@example.com,2023-09-15T00:00:00.000Z,118.13
user5@example.com,2023-02-15T00:00:00.000Z,103.13
user6@example.com,2023-02-15T00:00:00.000Z,148.27
user7@example.com,2023-02-15T00:00:00.000Z,64.24
user8@example.com,2023-02-15T00:00:00.000Z,86.67
user9@example.com,2023-02-15T00:00:00.000Z,101.90
user10@example.com,2023-02-15T00:00:00.000Z,115.05
user11@example.com,2023-02-15T00:00:00.000Z,80.45
user12@example.com,2023-02-15T00:00:00.000Z,143.32
user13@example.com,2023-02-15T00:00:00.000Z,126.06
user14@example.com,2023-02-15T00:00:00.000Z,60.27
user15@example.com,2023-02-15T00:00:00.000Z,149.46
user16@example.com,2023-02-15T00:00:00.000Z,102.91
user17@example.com,2023-02-15T00:00:00.000Z,79.37
user18@example.com,2023-02-15T00:00:00.000Z,74.87
user19@example.com,2023-02-15T00:00:00.000Z,101.39
user20@example.com,2023-02-15T00:00:00.000Z,129.70
user21@example.com,2023-02-15T00:00:00.000Z,121.37
user22@example.com,2023-02-15T00:00:00.000Z,132.66
user23@example.com,2023-02-15T00:00:00.000Z,85.48
user24@example.com,2023-02-15T00:00:00.000Z,72.46
user25@example.com,2023-02-15T00:00:00.000Z,120.87
user26@example.com,2023-02-15T00:00:00.000Z,88.30
user27@example.com,2023-02-15T00:00:00.000Z,134.94
user28@example.com,2023-02-15T00:00:00.000Z,50.45
user29@example.com,2023-02-15T00:00:00.000Z,134.65
user30@example.com,2023-02-15T00:00:00.000Z,123.80
user31@example.com,2023-02-15T00:00:00.000Z,139.77
user32@example.com,2023-02-15T00:00:00.000Z,97.13
user33@example.com,2023-02-15T00:00:00.000Z,117.75
user34@example.com,2023-02-15T00:00:00.000Z,60.41
user35@example.com,2023-02-15T00:00:00.000Z,79.81
user36@example.com,2023-02-15T00:00:00.000Z,143.54
user37@example.com,2023-02-15T00:00:00.000Z,148.72
user38@example.com,2023-02-15T00:00:00.000Z,76.31
user39@example.com,2023-02-15T00:00:00.000Z,100.49
user40@example.com,2023-02-15T00:00:00.000Z,116.94
user41@example.com,2023-02-15T00:00:00.000Z,62.91
user42@example.com,2023-02-15T00:00:00.000Z,83.86
user43@example.com,2023-02-15T00:00:00.000Z,148.90
user44@example.com,2023-02-15T00:00:00.000Z,72.57
user45@example.com,2023-02-15T00:00:00.000Z,134.41
user46@example.com,2023-02-15T00:00:00.000Z,130.67
user47@example.com,2023-02-15T00:00:00.000Z,132.10
user48@example.com,2023-02-15T00:00:00.000Z,78.12
user49@example.com,2023-02-15T00:00:00.000Z,51.26
user50@example.com,2023-02-15T00:00:00.000Z,79.08
user51@example.com,2023-02-15T00:00:00.000Z,87.15
user52@example.com,2023-02-15T00:00:00.000Z,107.67
user53@example.com,2023-02-15T00:00:00.000Z,124.38
user54@example.com,2023-02-15T00:00:00.000Z,60.89
user55@example.com,2023-02-15T00:00:00.000Z,106.46
user56@example.com,2023-02-15T00:00:00.000Z,91.33
user57@example.com,2023-02-15T00:00:00.000Z,63.49
user58@example.com,2023-02-15T00:00:00.000Z,99.20
user59@example.com,2023-02-15T00:00:00.000Z,120.34
user60@example.com,2023-02-15T00:00:00.000Z,103.32
user61@example.com,2023-02-15T00:00:00.000Z,59.45
user62@example.com,2023-02-15T00:00:00.000Z,126.91
user63@example.com,2023-02-15T00:00:00.000Z,76.65
user64@example.com,2023-02-15T00:00:00.000Z,94.82
user65@example.com,2023-02-15T00:00:00.000Z,107.65
user66@example.com,2023-02-15T00:00:00.000Z,141.49
user67@example.com,2023-02-15T00:00:00.000Z,82.47
user68@example.com,2023-02-15T00:00:00.000Z,110.33
user69@example.com,2023-02-15T00:00:00.000Z,65.68
user70@example.com,2023-02-15T00:00:00.000Z,58.91
user71@example.com,2023-02-15T00:00:00.000Z,88.26
user72@example.com,2023-02-15T00:00:00.000Z,148.28
user73@example.com,2023-02-15T00:00:00.000Z,82.22
user74@example.com,2023-02-15T00:00:00.000Z,64.16
user75@example.com,2023-02-15T00:00:00.000Z,50.01
user76@example.com,2023-02-15T00:00:00.000Z,109.30
user77@example.com,2023-02-15T00:00:00.000Z,127.79
user78@example.com,2023-02-15T00:00:00.000Z,133.11
user79@example.com,2023-02-15T00:00:00.000Z,56.73
user80@example.com,2023-02-15T00:00:00.000Z,64.81
user81@example.com,2023-02-15T00:00:00.000Z,108.34
user82@example.com,2023-02-15T00:00:00.000Z,98.30
user83@example.com,2023-02-15T00:00:00.000Z,140.82
user84@example.com,2023-02-15T00:00:00.000Z,131.43
user85@example.com,2023-02-15T00:00:00.000Z,131.49
user86@example.com,2023-02-15T00:00:00.000Z,70.83
user87@example.com,2023-02-15T00:00:00.000Z,85.52
user88@example.com,2023-02-15T00:00:00.000Z,66.69
user89@example.com,2023-02-15T00:00:00.000Z,72.15
user90@example.com,2023-02-15T00:00:00.000Z,68.70
user91@example.com,2023-02-15T00:00:00.000Z,113.69
user92@example.com,2023-02-15T00:00:00.000Z,55.59
user93@example.com,2023-02-15T00:00:00.000Z,56.60
user94@example.com,2023-02-15T00:00:00.000Z,106.73
user95@example.com,2023-02-15T00:00:00.000Z,141.77
user96@example.com,2023-02-15T00:00:00.000Z,79.87
user97@example.com,2023-02-15T00:00:00.000Z,129.09
user98@example.com,2023-02-15T00:00:00.000Z,92.86
user99@example.com,2023-02-15T00:00:00.000Z,79.09
